,Unnamed: 0,tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres,staffExperience,writersExperience,directorsExperience,budget,revenue,viewCount,likeCount,dislikeCount,commentCount
143,198291,tt0206275,movie,Save the Last Dance,Save the Last Dance,0,2001.0,112.0,"Drama,Music,Romance",39,7,4,13000000,91038276,0,0,0,0
144,198329,tt0206314,movie,Joy Ride,Joy Ride,0,2001.0,97.0,"Mystery,Thriller",40,8,4,23000000,36642838,0,0,0,0
145,198625,tt0206634,movie,Children of Men,Children of Men,0,2006.0,109.0,"Drama,Sci-Fi,Thriller",40,24,4,76000000,69959751,0,0,0,0
146,199160,tt0207201,movie,What Women Want,What Women Want,0,2000.0,127.0,"Comedy,Fantasy,Romance",40,12,4,70000000,374111707,0,0,0,0
147,199445,tt0207501,movie,The Guardian,The Guardian,0,2000.0,100.0,"Action,Thriller",40,0,4,70000000,72049619,0,0,0,0
148,199905,tt0208003,movie,Big Momma's House,Big Momma's House,0,2000.0,99.0,"Action,Comedy,Crime",40,8,4,30000000,173959438,0,0,0,0
149,199991,tt0208092,movie,Snatch,Snatch,0,2000.0,104.0,"Comedy,Crime",40,4,4,10000000,83557872,0,0,0,0
150,200822,tt0208988,movie,Get Carter,Get Carter,0,2000.0,102.0,"Action,Crime,Drama",40,8,4,64350000,19412993,0,0,0,0
151,200904,tt0209077,movie,Ken Park,Ken Park,0,2002.0,93.0,Drama,31,8,8,1300000,447741,0,0,0,0
152,200969,tt0209144,movie,Memento,Memento,0,2000.0,113.0,"Mystery,Thriller",40,8,4,9000000,39723096,0,0,0,0
153,200987,tt0209163,movie,The Mummy Returns,The Mummy Returns,0,2001.0,130.0,"Action,Adventure,Fantasy",40,4,4,98000000,433013274,0,0,0,0
154,201283,tt0209475,movie,The Wedding Planner,The Wedding Planner,0,2001.0,103.0,"Comedy,Romance",40,8,4,35000000,94728529,0,0,0,0
155,201751,tt0209958,movie,The Cell,The Cell,0,2000.0,107.0,"Horror,Sci-Fi,Thriller",40,4,4,33000000,104155843,0,0,0,0
156,202146,tt0210382,movie,The Weight of Water,The Weight of Water,0,2000.0,114.0,"Crime,Drama,Mystery",40,12,4,16000000,109130,0,0,0,0
